"APPID","三方门店ID","门店ID","预估峰值","预估消息量","餐厅名称"
"5339","2924399","2924399",100,200,"古御贡茶•手抓饼•小吃（大芬信和店）"
"5339","9795712","9795712",100,200,"贡茶•手抓饼•小吃（南京旗舰店）"
"5339","9720238","9720238",100,200,"喜三德甜品•手工芋圆（未来方舟店）"
"5339","9411146","9411146",100,200,"喜三德甜品•手工芋圆（坑梓店）"
"5339","9595799","9595799",100,200,"喜三德甜品●下午茶●简餐（长沙旗舰店）"
"5339","9470147","9470147",100,200,"喜三德甜品•手工芋圆（嘉禾店）"
"5339","9250896","9250896",100,200,"喜三德甜品•手工芋圆（南宁店）"
"5339","10328667","10328667",100,200,"喜三德甜品·手工芋圆（硚口店）"
"5339","6630994","6630994",100,200,"喜三德甜品•手工芋圆（双龙店）"
"5339","9180161","9180161",100,200,"喜三德甜品•手工芋圆（新生店）"
"5339","10159750","10159750",100,200,"古御贡茶•手抓饼•小吃（人和店）"
"5339","9191424","9191424",100,200,"贡茶•手抓饼•小吃（陈江店）"
"5339","9018772","9018772",100,200,"贡茶•手抓饼•小吃（南宁旗舰店）"
"5339","10304111","10304111",100,200,"古御贡茶•手抓饼•小吃（禅城店）"
"5339","9492674","9492674",100,200,"喜三德甜品•手工芋圆（白云新城店）"
"5339","10049050","10049050",100,200,"古御贡茶•手抓饼•小吃（狮岭店）"
"5339","9485479","9485479",100,200,"喜三德甜品•手工芋圆（厚街店）"
"5339","9561138","9561138",100,200,"贡茶•手抓饼•小吃（长沙旗舰店）"
"5339","9842782","9842782",100,200,"喜三德甜品•手工芋圆（白石洲店）"
"5339","9569351","9569351",100,200,"贡茶•手抓饼•小吃（仲恺店）"
"5339","10392067","10392067",100,200,"喜三德甜品•手工芋圆(三元里店)"
"5339","9861088","9861088",100,200,"喜三德甜品•手工芋圆（新田店）"
"5339","9153911","9153911",100,200,"喜三德甜品•手工芋圆（花都店）"
"5339","10427603","10427603",100,200,"喜三德甜品•手工芋圆(草埔店)"
"5339","9452709","9452709",100,200,"贡茶•手抓饼•小吃（江北店）"
"5339","9206400","9206400",100,200,"古御贡茶●手抓饼●小吃（长安店）"
"5339","9636784","9636784",100,200,"喜三德甜品•手工芋圆（钟村店）"
"5339","9969194","9969194",100,200,"喜三德甜品●手工芋圆（南京总店）"
"5339","7740255","7740255",100,200,"喜三德甜品•手工芋圆（平湖店）"
"5339","9677396","9677396",100,200,"贡茶•手抓饼•小吃（虹口店）"
"5339","9386994","9386994",100,200,"喜三德甜品•手工芋圆（南城店）"
"5339","10096753","10096753",100,200,"喜三德甜品•手工芋圆（南昌八一店）"
"5339","10056855","10056855",100,200,"喜三德甜品•手工芋圆（荔湾店）"
"5339","9901167","9901167",100,200,"喜三德甜品•手工芋圆（闵行店）"
"5339","9596631","9596631",100,200,"贡茶•手抓饼•小吃（都正街店）"
"5339","10156945","10156945",100,200,"喜三德甜品•手工芋圆（至尊店）"
"5339","10285968","10285968",100,200,"喜三德甜品•手工芋圆（沙头店）"
"5339","t_fLkr2jOW5A","t_fLkr2jOW5A",100,200,"t_fLkr2jOW5A"
"5339","9663962","9663962",100,200,"古御贡茶•手抓饼•小吃（白石洲店）"
"5339","10096975","10096975",100,200,"古御贡茶•手抓饼•小吃（石井店）"
"5339","10372220","10372220",100,200,"喜三德甜品•手工芋圆（人和店）"
